"Matteo","Ruben","Goalkeeper","1","4","5","15","31","26"
"Graham","Roger","Right Back","1","16","11","18","59","19"
"Ethan","Rayden","Left Back","1","18","28","58","34","30"
"Benedict","Daxton","Center Back","1","18","6","44","55","25"
"Harold","Alden","Sweeper","1","27","41","59","84","19"
"Kelvin","Zahir","Defensive Midfield","1","19","2","52","16","23"
"Nelson","Kenji","Right Wing","1","39","26","81","76","24"
"Zachariah","Wayne","Center Midfield","1","26","25","36","35","20"
"Wesley","Wesley","Striker","1","34","47","72","92","21"
"Harold","Leroy","Center Forward","1","44","36","64","48","29"
"Armani","Bishop","Left Wing","1","13","1","45","7","24"
